編號,名字,故事
1,Ian,小熊某天回家的時候，發現自己的粥被小女孩吃光了，柔軟的床也被霸佔了。
2,Hansel,某天帶著妹妹進到森林，迷路後走進神秘的糖果屋，殊不知這是惡夢的開始。
3,Gretel,某天跟著哥哥進到森林，迷路後走進神秘的糖果屋，殊不知這是惡夢的開始。
4,Hadley,以為自己長大會變天鵝，但其實真的就只是醜小鴨。
5,Ruth,原本是上班族，不小心被車撞死，現在在異世界當石頭，獲得神秘的力量。
6,Olivia,之前當仙女在天堂送公文，不小心打翻飲料，被貶到地上當石頭。
7,Leon,愛探險的石頭，喜歡打怪，夢想是娶到漂亮的公主。
8,Sawyer,一個被外星人盯上的小石頭，渾然不知自己身處險境。
9,Autumn,為了躲避壞人的追殺，每天都裝出一副傻傻的模樣。
10,Jayce,一個強壯的石頭，只會一直吧噗吧噗的叫。
11,Hudson,一個膽小的石頭，為了拯救主人卻可以爆發出無窮的勇氣。
12,Christopher,在森林裡和許多動物是好朋友，像是愛吃蜂蜜的小熊、粉紅色的小豬。
13,Edward,一個勇敢的石頭，夢想是成為寶可夢大師。
14,Genevieve,真性情的石頭，一言不合就跳河，但很會拉小提琴。
15,Adelaide,穿越到異世界之後，系統要求升到100等，但因為Bug始終卡在1等的可憐石頭。
16,Daniela,前世是愛拍抖音的網紅，在懸崖上拍抖音不小心摔了下去，轉世為一顆石頭。
17,Sienna,一個有點小聰明的石頭，很喜歡小熊玩偶，常常會把事情弄得一團亂。
18,Juliana,熊媽媽某天回家的時候，發現自己冷冰冰的粥被小女孩偷吃了。
19,Adalynn,飲料都喝全糖，愛喝飲料到開了一間自己的飲料店。
20,Abel,原本是塊普通的石頭，戴上皇冠後獲得了能把人冰凍的能力。
21,Gabriel,穿著裁縫口中華麗的衣裳去逛街，但國王的新衣是……
22,Charles,有個當國王的夢，總是自稱是這片大陸的國王，但說的話漏洞百出。
23,Tristan,被變成石頭的王子，在等待真愛的一個吻。
24,Lydia,是個意外被抱錯的假千金，雖然長相平平無奇，但依靠聰明才智成功闖出一片天。
25,Ashley,一個反覆無常的石頭，喜歡用撲克牌展現戲法戲弄大家。
26,Graham,以為自己是台積電晶片的石頭。
27,Daniel,愛說謊的石頭，聽說之前當過市長，還會爬樹，非常接地氣。
28,Juliana,一個不太開心的石頭，被送到火星當女王，在那裏受到人民的愛戴。
29,Paige,某天被主人丟在森林裡，至今還在原地等待，你會帶牠回家嗎？
30,Callie,總是瞪大雙眼，盯得人頭皮發毛，似乎有什麼不可告人的祕密。
31,Alice,某天跟著一隻會說話的兔子掉進了樹洞，開始了奇幻冒險。
32,Bentley,熊爸爸某天回家的時候，發現自己熱騰騰的粥被小女孩偷吃了。
33,Jeremy,一個堅硬的石頭，底下住著一個愛睡覺的海星。
34,Angela,被抱錯的真千金，回家後因為太可愛直接變成團寵。
35,Allison,擁有火系魔法的魔法學院資優生，因能力強大在學校備受歡迎。
36,Henry,曾經是個醫生，現在經常失言被炎上。
37,Kaylee,力氣很大，而且還會飛，據說曾經拯救過世界。
38,Joseph,轉入尖子班後，成為班上最平凡的存在。
39,Graice,一個調皮的石頭，會用屁股走路，常常惹家人生氣。
40,Juliet,妥妥的戀愛腦，為了愛情可以赴湯蹈火。
41,Lilah,在宇宙旅行過，曾經造訪過地球導致恐龍滅絕。
42,Kash,一個社畜大叔轉生成的貓貓石頭，喜歡裝可愛。
43,Chase,擁有世界上最強的易容術，最近將自己易容成一顆普通的石頭。
44,Angelina,看似人畜無害，但總能面無表情的說出最傷人的話。
45,Jeremiah,一個非常聰明的石頭，常常趁大人不在家發明一些神祕的東西。
46,Octavia,以為衛星導航很厲害，跑去山上找不到回家的路，只好在森林裡當石頭。
47,Henry,看起來像是一個會燃燒的石頭，實際上是某位魔法師的心臟。
48,Ezekiel,一個上班族因為滑手機被貨車撞到，醒來就穿越成石頭了，一起穿越過來的還有他的智慧型手機。
49,Amber,假裝清純的小白蓮花，本性卻異常的殘暴。
50,Shelby,經常向別人傳遞知識，但很多時候只是一本正經的說胡話。
51,Bennett,勇敢無畏的Bennett，他總是追求新的高度。有一天，他攀登到最高峰，發現了隱藏的寶藏。
52,Lena,聰明敏銳的Lena，她能與動物溝通。憑藉她獨特的天賦，她幫助一隻迷路的小鳥找到了回家的路。
53,Preston,調皮搗蛋的Preston，他喜歡捉弄朋友。但有一天，他的惡作劇搞砸了，教會了他善良和寬容的重要性。
54,Sarah,溫柔體貼的Sarah，她擁有神奇的治癒能力。她可以療癒傷口，給予需要幫助的人安慰。她的同情心觸動了每個遇到她的人。
55,Lilah,好奇冒險的Lilah，她踏上了橫渡河流的旅程。沿途上，她結識了新朋友，發現了友誼的真正意義。
56,Arianna,優雅高貴的Arianna，她與風共舞。她的舞姿激發了一個小女孩追求成為芭蕾舞者的夢想。
57,Kyrie,堅韌不拔的Kyrie，面對著許多挑戰。儘管遇到了阻礙，他從不放棄，最終實現了目標，成為他人的榜樣。
58,Aiden,活潑好動的Aiden，他總是充滿著無窮的能量。他喜歡和其他石頭玩耍，帶給大家快樂和歡笑。
59,Nevaeh,夢幻與希望的Nevaeh，她的存在為周圍的世界帶來了一片美好。她的出現讓人們重新發現了生命的價值和美麗。
60,Cayden,聰明機智的Cayden，他總是能夠迅速解決問題。他的智慧和靈活性使他成為大家心目中的智囊。
61,Alayna,溫柔體貼的Alayna，她總是關心和照顧身邊的人。她的存在讓人們感到溫暖和安心。
62,Ace,快速敏捷的Ace，他擁有驚人的速度和敏銳的反應。他總是在追逐著風的腳步，永不停歇。
63,Trinity,神秘而神聖的Trinity，她代表著三位一體的力量。她的存在使得平衡和和諧得以維持。
64,Hazel,聰明且充滿智慧的Hazel，她總是能夠給出明智的建議。她的存在讓人們感到安心和信任。
65,Jasper,充滿智慧的Jasper，他總是能夠提供明智的建議。他的存在為大家帶來指引和方向。
66,Beckett,充滿藝術氣息的Beckett，他喜歡創作和表達自己。他的作品總是能夠觸動人們的心靈。
67,David,強壯而堅韌的David，他總是勇敢地面對挑戰。他的勇氣和毅力鼓舞著身邊的每個人。
68,Rocky,堅強和堅定的Rocky，他總是克服困難和挑戰。他的堅毅和勇氣啟發了身邊的人們。
69,Walker,喜歡冒險的Walker，他總是探索新的領域。他的好奇心和冒險精神讓他的生活充滿了刺激和樂趣。
70,Kenneth,樂於助人的Kenneth，他總是願意伸出援助之手。他的善良和無私讓人們對他充滿敬意。
71,Jace,活潑好動的Jace，他總是充滿著無窮的能量。他喜歡和其他石頭玩耍，帶給大家快樂和歡笑。
72,Robert,謹慎而可靠的Robert，他總是能夠找到最好的解決方法。他的智慧和可靠性讓人們信任和依賴他。
73,Jordyn,充滿活力和熱情的Jordyn，他總是能夠激發身邊的人。他的存在讓人們充滿動力和勇氣。
74,Khloe,敏感體貼的Khloe，她總是能夠捕捉到周圍人們的情感。她的存在讓人們感到被理解和支持。
75,Weston,冷靜而沉著的Weston，他總是能夠保持冷靜思考。他的智慧和沉穩性讓人們在困難時倚賴他。
76,Jensen,創造力無限的Jensen，他總是能夠帶來新的靈感。他的存在讓周圍的環境充滿著藝術和美感。
77,Savannah,溫暖和愛心的Savannah，她總是能夠給予他人關愛。她的存在讓人們感受到溫暖和幸福。
78,Damian,勇敢無畏的Damian，他總是願意保護身邊的人。他的勇敢和忠誠感動著每個遇到他的人。
79,Spencer,聰明敏銳的Spencer，他總是能夠找到最佳的解決方案。他的智慧和洞察力讓人們對他的能力充滿敬意。
80,Luna,神秘而迷人的Luna，她的光芒照亮黑暗。她的存在讓大家感受到希望和力量。
81,Georgia,充滿活力和熱情的Georgia，她總是帶來歡樂和快樂。她的存在讓周圍的人們充滿活力和動力。
82,Isabella,溫柔體貼的Isabella，她總是能夠給予他人關愛和支持。她的存在讓人們感受到無盡的溫暖和愛意。
83,Zayden,充滿冒險精神的Zayden，他總是渴望探索未知的領域。他的勇氣和冒險精神啟發了身邊的人們。
84,Cole,勇敢堅毅的Cole，他從不退縮面對挑戰。他的勇氣和毅力是他克服障礙的關鍵。
85,Payton,樂於助人的Payton，他總是樂意伸出援手。他的善良和同情心讓人們感到溫暖和感激。
86,William,智慧和謙遜的William，他總是虛心學習。他的智慧和謙虛是他取得成功的關鍵。
87,Brooklyn,自由奔放的Brooklyn，他總是追求自己的夢想。他的獨立和勇氣啟發了他身邊的人。
88,Nicholas,聰明才智的Nicholas，他擁有豐富的知識和智慧。他的存在使周圍的人受益匪淺。
89,Alivia,溫暖和關懷的Alivia，她總是願意幫助他人。她的善良和關懷讓人們感到安心和溫暖。
90,Milo,活潑好動的Milo，他總是充滿著玩樂和冒險。他的快樂和活力感染著身邊的人們。
91,Ivy,優雅而綠意盎然的Ivy，她的存在為環境增添了生氣和美麗。她的存在讓人們感到平靜和寧靜。
92,Cash,堅定果斷的Cash，他總是能夠做出正確的決策。他的果斷和決斷力在困難時指引著他的道路。
93,Eli,聰明敏銳的Eli，他總是能夠找到解決問題的方法。他的智慧和洞察力讓人們對他充滿敬佩。
94,Evelyn,優雅而高貴的Evelyn，她散發著迷人的魅力。她的存在讓周圍的環境充滿著優雅和品味。
95,Louis,冷靜理性的Louis，他總是能夠保持冷靜和客觀。他的存在使周圍的人們獲得平衡和安寧。
96,Scarlett,充滿活力的Scarlett，她總是充滿生氣和熱情。她的存在讓人們充滿活力和動力。
97,Peter,勇敢無畏的Peter，他總是敢於追求夢想。他的勇氣和冒險精神激勵著身邊的每個人。
98,Ariana,充滿愛和溫暖的Ariana，她總是關心著他人的幸福。她的善良和溫柔讓人們感到被愛和珍惜。
99,Rylee,活潑開朗的Rylee，她總是帶來笑聲和歡樂。她的存在讓人們忘卻煩惱，享受當下的美好。
100,Haven,寧靜和平的Haven，他散發著平和和寧靜的氛圍。他的存在讓人們找到內心的寧靜和安寧。